Date,Description,Amount
08-31-2022,WEBNAMES.CA 604-633-3097 BC,-73.81
09-01-2022,DNH*GODADDY.CO 480-5058855 AZ AMT,-160.23
09-02-2022,121.90 UNIT ED STATES DOL LAR GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
09-02-2022,ABERNETHY DONATION BOWMANVILLE ON,-5
09-06-2022,APPLE.COM/BILL 866-712-7753 ON,-9.03
09-06-2022,FRASER CHRYSLER SERVICE OSHAWA ON,-766.27
09-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
09-07-2022,ESSO CIRCLE K COURTICE ON,-150
09-07-2022,TRESTA TALLAHASSEE FL AMT 19.29,-25.42
09-08-2022,UNIT ED STATES DOL LAR APPLE.COM/BILL TORONTO ON,-16.92
09-09-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
09-12-2022,TOP FOOD DISTRIBUTORS BOWMANVILLE ON,-51.41
09-14-2022,MARK MANSON HTTPSMARKMANS TX AMT 48.00 UNIT ED STATES DOL LAR,-63.25
09-14-2022,PAYPAL *MANTALKS 4029357733 BC,-36.72
09-15-2022,APPLE.COM/BILL 866-712-7753 ON,-4.48
09-15-2022,APPLE.COM/BILL 866-712-7753 ON,-4.48
09-15-2022,INTEREST CHARGES-PURCHASE,-281.72
09-19-2022,METROLINX - GO TRANSIT TORONTO ON,-12.25
09-22-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
09-22-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-16.65
09-23-2022,APPLE.COM/BILL 866-712-7753 ON,-81.34
09-23-2022,CREDIT VOUCHER/RETURN APPLE.COM/BILL 866-712-7753 ON,8.36
09-23-2022,"DNH*GODADDY.COM 480-5058855 AZ AMT 135,67 UNIT ED STATES DOL LAR",-183.79
09-26-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
09-26-2022,ADOBE PRODUCTS SAN JOSE CA,-14.68
09-26-2022,APPLE.COM/BILL 866-712-7753 ON,-5.6
09-26-2022,WARRENS PRINTING PLACE WHITBY ON,-632.8
09-28-2022,AMZN Mktp CA*1U7A88WZ1 WWW.AMAZON.CAG ON,-11.29
09-28-2022,AMZN Mktp CA*1U7XJ8SL2 WWW.AMAZON.CAG ON,-55.37
09-29-2022,PC PAYMENT FROM *****00* 6819,6000
10-03-2022,APPLE.COM/BILL 866-712-7753 ON,-1.12
10-03-2022,BELL CANADA (OB) MONTREAL OC,-175
10-03-2022,BELL MOBILITY VERDUN QC,-500
10-03-2022,DROPBOX*8YCTMCVYXD6D DROPBOX.COM CA,-18.07
10-03-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
10-03-2022,WARRENS PRINTING PLACE WHITBY ON,-762.75
10-06-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
10-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
10-07-2022,TRESTA TALLAHASSEE FL AMT 19.29 UNIT ED STATES DOL LAR,-26.43
10-11-2022,AMZN Mktp CA*1KOKK4E42 WWW.AMAZON.CA ON,-165.37
10-11-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
10-11-2022,FACEBK *Z837VF3D72 fb.me/ads CA,-1108
10-11-2022,MASTERCLASS.COM/CHARGE HTTPSWWW.MASTO CA,-324
10-11-2022,PAYPAL *ALLIEBLOYDM 4029357733 ON,-67.37
10-11-2022,PRIORITY PRINT & COPY CEN TORONTO ON,-5062.4
10-11-2022,VISTEK LTD 416-365-1777 ON,-678
10-13-2022,FACEBK *H25Y4GPC72 fb.me/ads CA,-1108
10-14-2022,PAYPAL *MANTALKS 4029357733 BC,-38.9
10-14-2022,PC PAYMENT FROM *****00* 6819,6000
10-17-2022,Amazon Downloads www.Amazon.ca ON,-18.07
10-17-2022,FACEBK *3CJ54G3D72 fb.me/ads CA,-1108
10-17-2022,FACEBK *TXVZ4G7D72 fb.me/ads CA,-1108
10-17-2022,INTEREST CHARGES-PURCHASE,-128.42
10-20-2022,Amazon.ca*HTOMX4H52 AMAZON.CA ON,-33.88
10-20-2022,APPLE.COM/BILL 866-712-7753 ON,-9.59
10-20-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
10-20-2022,APPLE.COM/BILL 866-712-7753 ON,-89.26
10-20-2022,FACEBK *ZJWYAGPC72 fb.me/ads CA,-1108
10-21-2022,FACEBK *QTX5AG7D72 fb.me/ads CA,-1108
10-24-2022,APPLE.COM/BILL TORONTO ON,-44.06
10-24-2022,FACEBK *5KBJKHTC72 fb.me/ads CA,-1108
10-24-2022,FACEBK *W2SUJHTC72 fb.me/ads CA,-1108
10-24-2022,MB-CREDIT CARD/LOC PAY. FROM *****00* 6819,6000
10-24-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-17.19
10-25-2022,ADOBE *CREATIVE CLOUD 4085366000 CA,-44.06
10-25-2022,ADOBE *PRODUCTS 4085366000 CA,-14.68
10-25-2022,FACEBK *HAG74GXC72 fb.me/ads CA,-1108
10-25-2022,FACEBK *Q6X8MHTC72 fb.me/ads CA,-1108
10-26-2022,PRIORITY PRINT & COPY CEN TORONTO ON,-1435.1
10-27-2022,BEST BUY #613 OSHAWA ON,-260.79
10-31-2022,APPLE STORE #R515 MARKHAM ON,-1111.87
10-31-2022,BELL CANADA (OB) MONTREAL QC,-160
10-31-2022,BELL MOBILITY VERDUN QC,-450
10-31-2022,DROPBOX*2XPRQPBT6CLJ DROPBOX.COM CA,-18.07
10-31-2022,MB-CREDIT CARD/LOC PAY. FROM ****00* 6819,5000
10-31-2022,TOP FOOD DISTRIBUTORS BOWMANVILLE ON,-47.91
11-01-2022,ADS*2FSJJG7D72 fb.me/ads CA,-194.53
11-01-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-75.07
11-02-2022,GOOGLE*GSUITE MALEEHAS 650-2530000 CA,-26.44
11-03-2022,AMZN Mktp CA*H03PZ0VP2 WWW.AMAZON.CA ON,-25.98
11-03-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
11-07-2022,ADOBE *STOCK 4085366000 CA,-44.06
11-07-2022,APPLE.COM/BILL 866-712-7753 ON,-132.2
11-07-2022,PAYPAL *NORTON 4029357733 ON,-124.29
11-07-2022,TRESTA TALLAHASSEE El AMT 19.29,-26.54
11-14-2022,APPLE.COM/BILL TORONTO ON,-8.46
11-14-2022,CREDIT VOUCHER/RETURN - Pts for Credit TORONTO ON,500
11-14-2022,CREDIT VOUCHER/RETURN - Pts for Credit TORONTO ON,500
11-14-2022,PAYPAL *MANTALKS 4029357733 BC,-37.58
11-14-2022,UNIT ED STATES DOL LAR APPLE.COM/BILL 866-712-7753 ON,-38.36
11-15-2022,POA FINE PAYMENT TORONTO ON,-135
11-15-2022,TERANET PAY TICKETS TORONTO ON,-2.36
11-16-2022,AMZN Mktp CA*HB4OT7HV2,-62.14
11-17-2022,AMZN Mktp CA*HB9Y04KE2 WWW.AMAZON.CA ON,-28.09
11-17-2022,WWW.AMAZON.CA ON SHOPPERS DRUG MART #09 BOWMANVILLE ON,-37.28
11-21-2022,Amazon.ca*HI6GN7N72 AMAZON.CA ON,-90.35
11-21-2022,PAYPAL *DISNEYPLUS 402-935-7733 CA,-135.59
11-23-2022,AMZN Mktp CA*HWZ7E4ND1 WWW.AMAZON.CA. ON,-145.05
11-23-2022,JUSTIN BARRY OPTICAL BOWMANVILLE ON,-695
11-23-2022,VISTEK LTD 888-365-1777 ON,-2033.99
11-24-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
11-25-2022,ADOBE *CREATIVE CLOUD 4085366000 CA,-44.06
11-25-2022,ADOBE *PRODUCTS 4085366000 CA,-14.68
11-28-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-16.63
11-29-2022,MOORES CLOTHING 0018 OSHAWA ON,-281.35
12-01-2022,AMZN Mktp CA*B29BU1YK3,-77.96
12-01-2022,DROPBOX*DHD6BMFNPZ72 DROPBOX.COM CA,-18.07
12-01-2022,PAYPAL *GODADDY.COM 402-935-7733 AZ,-115.45
12-01-2022,WWW.AMAZON.CAON SHELL C08658 BOWMANVILLE ON,-100
12-02-2022,AMZN Mktp CA*0324B93N3 WWW.AMAZON.CAG ON,-255.37
12-02-2022,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
12-05-2022,AMZN Mktp CA*9N7Y10TS3,-32.42
12-05-2022,AMZN Mktp CA*F91UA0W53,-141.54
12-05-2022,AMZN Mktp CA*M76KE3HL3,-19.2
12-05-2022,BELL MOBILITY VERDUN QC,-430
12-05-2022,PC PAYMENT FROM *****00* 6819,6500
12-05-2022,WWW.AMAZON.CA ON AMZN Mktp CA*3F2917CV3,-67.78
12-05-2022,WWW.AMAZON.CA ON BELL CANADA (OB) MONTREAL QC,-165
12-06-2022,WWW.AMAZON.CA ON ADOBE *STOCK 4085366000 CA,-44.06
12-07-2022,SOURCE 51950 BOWMANVILLE ON,-135.58
12-07-2022,TRESTA TALLAHASSEE FL AMT 19.29,-26.25
12-08-2022,ENVATO 6138376628 UT AMT 198.00,-271.32
12-08-2022,UNIT ED STATES DOL LAR APPLE.COM/BILL TORONTO ON,-16.92
12-09-2022,APPLE.COM/BILL 866-712-7753 ON,-42.88
12-09-2022,IN *COPETTI & CO. PROFESS 905-6662111 ON,-542.22
12-09-2022,IN *COPETTI & CO. PROFESS 905-6662111 ON,-1131.41
12-09-2022,UNIT ED STATES DOL LAR IN *COPETTI & CO. PROFESS 905-6662111 ON,-33.89
12-12-2022,Henrys Toronto ON,-197.73
12-12-2022,MB-CREDIT CARD/LOC PAY. FROM - *****00* 6819,9800
12-12-2022,THE HOME DEPOT #7240 BOWMANVILLE ON,-191.6
12-13-2022,Amazon Downloads www.Amazon.ca ON,-11.29
12-13-2022,AMZN Mktp CA*B79BS9DZ3 WWW.AMAZON.CA ON,-40.67
12-14-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-10000
12-14-2022,DNH*GODADDY.COM https://www.g AZ AMT 45.58 UNIT ED STATES DOL LAR,-62.38
12-14-2022,INTEREST CHARGES-PURCHASE,-290.27
12-14-2022,PAYPAL *MANTALKS 4029357733 BC,-38.48
12-15-2022,BEST BUY #959 WHITBY ON,-750.01
12-19-2022,AMZN Mktp CA*H08S48WQ3 WWW.AMAZON.CA. ON,-715.22
12-19-2022,APPLE.COM/BILL 866-712-7753 ON,-8.46
12-19-2022,APPLE.COM/BILL 866-712-7753 ON,-8.46
12-20-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-75.44
12-28-2022,ADOBE *CREATIVE CLOUD 4085366000 CA,-44.06
12-28-2022,ADOBE *PRODUCTS 4085366000 CA,-14.68
12-28-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-17.03
12-28-2022,PC PAYMENT FROM *****00* 6819,10000
12-30-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-10000
01-03-2023,APPLE.COM/BILL 866-712-7753 ON,-3.15
01-03-2023,APPLE.COM/BILL 866-712-7753 ON,-33.89
01-03-2023,DROPBOX*5KTX7TSJYKX1 DROPBOX.COM CA,-18.07
01-03-2023,FACEBK 3Y565KTY62 650-5434800 CA,-600
01-03-2023,FACEBK 6U7JBK3Y62 650-5434800 CA,-600
01-03-2023,FACEBK 8R3K8J7Y62 650-5434800 CA,-140.98
01-03-2023,GOOGLE*GSUITE MALEEHAS 650-2530000 CA,-26.44
01-04-2023,MB-CREDIT CARD/LOC PAY. FROM - *****00* 5017,5000
01-05-2023,APPLE.COM/BILL 866-712-7753 ON,-16.92
01-05-2023,DNH*GODADDY.COM https://www.g AZ AMT 19.20 UNIT ED STATES DOL LAR,-26.28
01-06-2023,ADOBE *STOCK 4085366000 CA,-44.06
01-09-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
01-09-2023,TRESTA MIAMI FL AMT 28.32 UNIT ED STATES DOL LAR,-38.51
01-12-2023,PAYPAL *GODADDY.COM 402-935-7733 AZ,-90.73
01-13-2023,PAYPAL *HOSTGATOR 402-935-7733 FL,-117.48
01-16-2023,PAYPAL *MANTALKS 4029357733 BC,-37.85
01-16-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 30.00 UNIT ED STATES DOL LAR,-40.33
01-19-2023,APPLE.COM/BILL 866-712-7753 ON,-16.92
01-19-2023,DNH*GODADDY.COM 480-505-8855 AZ AMT 298.05 UNIT ED STATES DOL LAR,-402.46
01-19-2023,FACEBK P662LMKY62 650-5434800 CA,-600
01-23-2023,AMZN Mktp CA*HH1EZ5603 WWW.AMAZON.CA ON,-21.46
01-23-2023,PAYPAL *HOSTPAPA 4029357733 ON,-81.35
01-23-2023,WEBNAMES.CA 604-633-3097 BC,-183.06
01-25-2023,ADOBE *CREATIVE CLOUD 4085366000 CA,-44.06
01-25-2023,ADOBE *PRODUCTS 4085366000 CA,-14.68
01-27-2023,AMZN Mktp CA*R90SR6WK3,-75.7
01-27-2023,APPLE.COM/BILL 866-712-7753 ON,-11.29
01-30-2023,WWW.AMAZON.CAG ON APPLE.COM/BILL 866-712-7753 ON,-16.92
01-31-2023,Amazon.ca*CS8VQ87H3 AMAZON.CA ON,-63.82
01-31-2023,Amazon.ca*SL3L70ZV3 AMAZON.CA ON,-38.5
01-31-2023,DROPBOX*DGHZHB9X2PH3 DROPBOX.COM CA,-18.07
01-31-2023,FACEBK ZCBZVJPX62 650-5434800 CA,-750
01-31-2023,MB-CREDIT CARD/LOC PAY. FROM *****00* 6819,3500
02-01-2023,FACEBK AEC66KBY62 650-5434800 CA,-13.23
02-02-2023,ASTLEY-GILBERT LTD NORTH YORK ON,-3580.52
02-02-2023,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
02-02-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.03
02-06-2023,ADOBE *STOCK 4085366000 CA,-44.06
02-06-2023,PC PAYMENT FROM *****00* 6819,650
02-07-2023,APPLE.COM/BILL 866-712-7753 ON,-19.2
02-07-2023,BELL CANADA (OB) MONTREAL QC,-175
02-07-2023,BELL MOBILITY VERDUN QC,-450
02-07-2023,TRESTA MIAMI FL AMT 27.02 UNIT ED,-36.29
02-09-2023,STATES DOL LAR APPLE.COM/BILL 866-712-7753 ON,-42.88
02-14-2023,INTEREST CHARGES-PURCHASE,-264.13
02-14-2023,PAYPAL *MANTALKS 4029357733 BC,-37.89
02-16-2023,APPLE.COM/BILL 866-712-7753 ON,-16.92
02-17-2023,AMZN Mktp CA*HP3639E20 WWW.AMAZON.CA ON,-59.87
02-17-2023,PAYPAL *PRINTSSIGNS 402-935-7733 GA,-203.99
02-20-2023,AMZN Mktp CA*HE0475D81 WWW.AMAZON.CA ON,-25.98
02-20-2023,APPLE.COM/BILL TORONTO ON,-8.46
02-20-2023,DNH*GODADDY.COM CAD 480-505-8855 BC,-96.83
02-22-2023,AWARD HEADQUARTERS 3866822560 ON,-93.93
02-24-2023,FACEBK 64WT5LXX62 650-5434800 CA,-1108
02-27-2023,ADOBE *CREATIVE CLOUD 4085366000 CA,-81.35
02-27-2023,ADOBE *PRODUCTS 4085366000 CA,-14.68
02-27-2023,PC PAYMENT FROM *****00* 6819,1000
03-01-2023,DROPBOX*R68SB877L1Z2 DROPBOX.COM CA,-18.07
03-01-2023,FACEBK N4PZZKTX62 650-5434800 CA,-187.67
03-02-2023,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
03-03-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT FD STATES DOL LAR,-8.19
03-06-2023,ADOBE *STOCK 4085366000 CA,-44.06
03-06-2023,APPLE.COM/BILL 866-712-7753 ON,-19.2
03-06-2023,APPLE.COM/BILL 866-712-7753 ON,-28.24
03-07-2023,TRESTA MIAMI FL AMT 28.32 UNIT ED,-38.65
03-09-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
03-09-2023,STATES DOL LAR APPLE.COM/BILL TORONTO ON,-16.92
03-13-2023,APPLE.COM/BILL 866-712-7753 ON,-8.46
03-14-2023,INTEREST CHARGES-PURCHASE,-238.02
03-14-2023,PAYPAL *MANTALKS 4029357733 BC,-38.99
03-20-2023,APPLE.COM/BILL 866-712-7753 ON,-7.9
03-21-2023,PAYPAL *GODADDY.COM 402-935-7733 AZ,-55.09
03-27-2023,Adobe Inc 800-8336687 CA,-14.68
03-27-2023,Adobe Inc 800-8336687 CA,-81.35
03-30-2023,APPLE.COM/BILL TORONTO ON,-16.92
03-30-2023,PC PAYMENT FROM - *****00* 6819,3000
03-31-2023,DROPBOX*RPCKK1847CVS DROPBOX.COM CA,-18.07
04-03-2023,FACEBK MXZBMMTY62 650-5434800 CA,-74.61
04-03-2023,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
04-03-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.14
04-06-2023,Adobe Inc 800-8336687 CA,-44.06
04-10-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
04-10-2023,TRESTA MIAMI FL AMT 28.32 UNIT ED STATES DOL LAR,-38.19
04-11-2023,DNH*GODADDY.COM https://www.g AZ AMT 94.78 UNIT ED STATES DOL LAR,-128.48
04-12-2023,DNH*GODADDY.COM CAD 480-505-8855 BC,-433.65
04-13-2023,APPLE.COM/BILL 866-712-7753 ON,-16.92
04-14-2023,DNH*GODADDY.COM 480-5058855 AZ AMT 19.20 UNIT ED STATES DOL LAR,-25.91
04-14-2023,PAYPAL *MANTALKS 4029357733 BC,-37.94
04-17-2023,ANNUAL FEE,-199
04-17-2023,INTEREST CHARGES-PURCHASE,-245.14
04-20-2023,PC PAYMENT FROM 00* 6819,2000
04-24-2023,APPLE.COM/BILL 866-712-7753 ON,-8.46
04-25-2023,Adobe Inc 800-8336687 CA,-14.68
04-25-2023,Adobe Inc 800-8336687 CA,-81.35
04-27-2023,DNH*GODADDY.COM https://www.g AZ AMT 94.78 UNIT ED STATES DOL LAR,-129.41
05-01-2023,DROPBOX*Z6X61MZ49DN7 DROPBOX.COM CA,-18.07
05-01-2023,FACEBK 7GCGNMTX62 650-5434800 CA,-1108
05-01-2023,FACEBK7VR6FQKY62 650-5434800 CA,-152.07
05-01-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.2
05-02-2023,GOOGLE*GSUITE MALEEHAS CC GOOGLE.COM CA,-26.44
05-02-2023,NH*GODADDY.COM CANADA VICTORIA BC,-451.99
05-08-2023,Adobe Inc 800-8336687 CA,-44.06
05-08-2023,APPLE.COM/BILL 866-712-7753 ON,-5.64
05-08-2023,APPLE.COM/BILL 866-712-7753 ON,-62.14
05-08-2023,TRESTA MIAMI FL AMT 28.32 UNIT ED STATES DOL LAR,-38.37
05-09-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
05-09-2023,PAYPAL *GODADDY.CO 402-935-7733 AZ,-191.1
05-11-2023,APPLE.COM/BILL TORONTO ON,-22.59
05-12-2023,INTEREST CHARGES-PURCHASE,-149.34
05-15-2023,PAYPAL *MANTALKS 4029357733 BC,-38.15
05-15-2023,STK*Shutterstock 866-6633954 NY AMT,-39.34
05-23-2023,29.00 UNIT ED STATES DOL LAR ZOOM.US 888-799-9666 WWW.ZOOM.US CA,-257.52
05-25-2023,Adobe Inc 800-8336687 CA,-14.68
05-25-2023,Adobe Inc 800-8336687 CA,-81.35
05-29-2023,FACEBK XGPHKNTX62 650-5434800 CA,-1108
05-31-2023,BEACONSTAC STARTER HTTPSWWW.BEAC NY AMT 60.00 UNIT ED STATES DOL LAR,-81.94
05-31-2023,DROPBOX*JLDM7SLW87C2 DROPBOX.COM CA,-18.07
05-31-2023,PC PAYMENT FROM - ****00* 6819,5000
06-01-2023,FACEBK LVBGWNXX62 650-5434800 CA,-86.64
06-01-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.19
06-02-2023,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
06-05-2023,DNH*GODADDY.COM https://www.g AZ AMT 19.20 UNIT ED STATES DOL LAR,-26.09
06-06-2023,Adobe Inc 800-8336687 CA,-44.06
06-07-2023,TRESTA MIAMI FL AMT 28.32 UNIT ED STATES DOL LAR,-38.13
06-12-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
06-12-2023,APPLE.COM/BILL 866-712-7753 ON,-45.19
06-14-2023,APPLE.COM/BILL TORONTO ON,-56.49
06-14-2023,INTEREST CHARGES-PURCHASE,-206.39
06-14-2023,PAYPAL *MANTALKS 4029357733 BC,-37.64
06-26-2023,144.00 UNIT ED STATES DOL LAR Adobe Inc 800-8336687 CA,-14.68
06-26-2023,Adobe Inc 800-8336687 CA,-81.35
06-26-2023,KUULA PRO HTTPSKUULA.CO CA AMT,-189.82
06-28-2023,FACEBK L5MY6PPX62 6505434800 CA,-1108
07-04-2023,DROPBOX*MBCQ6PRR5VMT DROPBOX.COM CA,-18.07
07-04-2023,FACEBK BMU5BSKY62 6505434800 CA,-116.8
07-04-2023,GOOGLE*GSUITE MALEEHAS CC GOOGLE.COM CA,-26.44
07-04-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-7.97
07-06-2023,Adobe Inc 800-8336687 CA,-44.06
07-07-2023,TRESTA MIAMI FL AMT 28.32 UNIT ED STATES DOL LAR,-37.65
07-10-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
07-10-2023,PC PAYMENT FROM *****00* 6819,2000
07-11-2023,APPLE.COM/BILL 866-712-7753 ON,-45.19
07-11-2023,ASTLEY-GILBERT LTD NORTH YORK ON,-1941.69
07-14-2023,PAYPAL *MANTALKS 4029357733 BC,-37.22
07-17-2023,INTEREST CHARGES-PURCHASE,-190.35
07-25-2023,Adobe Inc 800-8336687 CA,-14.68
07-25-2023,Adobe Inc 800-8336687 CA,-81.35
07-28-2023,FACEBK X2CDRQPY62 6505434800 CA,-1108
07-31-2023,0X*PF2WH53R9J6B DROPBOX.COM CA,-18.07
07-31-2023,CORE THERAPY NORTH VANCOUV BC,-175
08-01-2023,FACEBK KUDXGUQPY62 6505434800 CA,-154.23
08-01-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-7.96
08-02-2023,GOOGLE*GSUITE MALEEHAS CC GOOGLE.COM CA,-26.44
08-07-2023,Adobe Inc 800-8336687 CA,-44.06
08-07-2023,TRESTA TALLAHASSEE FL AMT 28.32 UNIT ED STATES DOL LAR,-37.94
08-09-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
08-14-2023,INTEREST CHARGES-PURCHASE,-208.37
08-14-2023,PAYPAL *MANTALKS 4029357733 BC,-37.87
08-21-2023,MB-CREDIT CARD/LOC PAY. FROM - *****00* 6819,2500
08-23-2023,DNH*GODADDY.COM 480-5058855 AZ AMT 81.22 UNIT ED STATES DOL LAR,-110.26
08-25-2023,Adobe Inc 800-8336687 CA,-14.68
08-25-2023,Adobe Inc 800-8336687 CA,-81.35
08-25-2023,CORE THERAPY NORTH VANCOUV BC,-175
08-31-2023,DROPBOX*CS87TWLZQ3S3 DROPBOX.COM CA,-18.07
09-01-2023,FACEBK (JUUW2RPX62 65054348000 CA,-1050.47
09-01-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.14
09-05-2023,APPLE.COM/BILL 866-712-7753 ON,-5.64
09-05-2023,GOOGLE*GSUITE MALEEHAS CC GOOGLE.COM CA,-26.44
09-06-2023,Adobe Inc 800-8336687 CA,-44.06
09-07-2023,TRESTA TALLAHASSEE FL AMT 28.32 UNIT ED STATES DOL LAR,-38.72
09-11-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
09-14-2023,MARK MANSON HTTPSMARKMANS CA AMT 48.00 UNIT ED STATES DOL LAR,-65.26
09-14-2023,PAYPAL *MANTALKS 4029357733 BC,-38.23
09-15-2023,INTEREST CHARGES-PURCHASE,-223.77
09-25-2023,Adobe Inc 800-8336687 CA,-14.68
09-25-2023,Adobe Inc 800-8336687 CA,-81.35
09-25-2023,DNH*GODADDY.COM 480-5058855 AZ AMT 162.45 UNIT ED STATES DOL LAR,-219.73
09-25-2023,PAYPAL *GODADDY.COM 4029357733 I,-54.1
09-27-2023,PAYPAL *GODADDY.COM 4029357733 BC,-39.53
10-03-2023,DROPBOX*WL86VSLVBH4C DROPBOX.COM CA,-18.07
10-03-2023,GOOGLE*GSUITE MALEEHAS CC GOOGLE.COM CA,-26.44
10-03-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.15
10-06-2023,Adobe Inc 800-8336687 CA,-44.06
10-06-2023,PAYPAL *RSSSL 35314369001,-33.3
10-10-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
10-10-2023,MASTERCLASS.COM/CHARGE HTTPSWWW.MAST CA,-162
10-10-2023,TRESTA TALLAHASSEE FL AMT 28.32 UNIT ED STATES DOL LAR,-39.05
10-11-2023,DNH*GODADDY.COM CAD 480-505-8855 BC,-137.97
10-11-2023,PAYPAL *GODADDY.COM 4029357733 BC,-54.1
10-11-2023,PC PAYMENT FROM - *****00* 6819,2500
10-12-2023,FACEBK 3GFTSSTX62 650-5434800 CA,-1023.04
10-12-2023,PAYPAL *GODADDY.COM 4029357733 BC,-22.59
10-16-2023,PAYPAL *MANTALKS 4029357733 BC,-38.53
10-17-2023,INTEREST CHARGES-PURCHASE,-236.98
10-20-2023,APPLE. COM/BILL TORONTO ON,-89.26
10-23-2023,APPLE.COM/BILL 866-712-7753 ON,-44.06
10-25-2023,Adobe Inc 800-8336687 CA,-14.68
10-25-2023,Adobe Inc 800-8336687 CA,-81.35
10-25-2023,PC - PAYMENT FROM - *****00* 6819,5000
10-27-2023,DNH*GODADDY.COM CANADA VICTORIA BC,-121.9
10-27-2023,GOOGLE*ADS9696064147 CC GOOGLE.COM CA,-20
10-30-2023,GOOGLE*ADS9696064147 CC GOOGLE.COM CA,-75
10-31-2023,DROPBOX*3NY2YG6TMG5M DROPBOX.COM CA,-18.07
11-01-2023,FACEBK 6YN5GTTX62 6505434800 CA,-929.82
11-01-2023,SQUARESPACE INC. HTTPSSQUARESP NY AMT 6.00 UNIT ED STATES DOL LAR,-8.34
11-02-2023,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
11-02-2023,GOOGLE*ADS9696064147 CC GOOGLE.COM CA,-132.11
11-03-2023,SHELL C22430 WHITBY ON,-50.05
11-06-2023,Adobe Inc 800-8336687 CA,-44.06
11-06-2023,PAYPAL *NORTON 8007456034 ON,-135.59
11-07-2023,DNH*GODADDY.COM CAD 480-505-8855 BC,-18.07
11-07-2023,PIONEER STN# 209 BOWMANVILLE ON,-50.2
11-07-2023,TRESTA TALLAHASSEE FL AMT 28.32 UNIT ED STATES DOL LAR,-38.98
11-08-2023,DNH*GODADDY.COM CAD 480-505-8855 BC,-108.62
11-08-2023,GOOGLE*ADS9696064147 CC GOOGLE.COM CA,-250
11-09-2023,APPLE.COM/BILL 866-712-7753 ON,-42.88
11-09-2023,DNH*GODADDY.COM CANADA VICTORIA BC,-225.99
11-14-2023,PAYPAL *MANTALKS 4029357733 BC,-38.97
11-15-2023,INTEREST CHARGES-PURCHASE,-160.86
